95, 7
94, 6
95, 4
96, 3
96, 2
96, 1
96, 4
96, 5
96, 2
97, 7
97, 7
97, 8
97, 11
96, 14
93, 20
83, 21
76, 17
72, 18
63, 7
59, 10
54, 19
51, 23
48, 47
46, 64
35, 72
31, 77
29, 81
34, 81
33, 48
46, 42
57, 23
68, 18
78, 21
87, 24
94, 24
97, 16
99, 15
96, 13
74, -4
66, 15
54, 24
44, 26
41, 42
31, 48
28, 70
26, 74
24, 86
25, 85
27, 85
30, 71
46, 47
58, 44
70, 36
86, 34
94, 35
100, 30
102, 23
97, 16
88, 8
75, 7
64, 5
56, 12
46, 24
35, 36
28, 54
26, 68
24, 74
19, 73
18, 76
21, 81
24, 78
26, 72
25, 49
28, 31
41, 19
51, 19
68, 14
78, 9
84, 7
93, 16
98, 10
101, 9
102, 9
